frame.time_delta,frame.time_relative,frame.len,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags,tcp.time_delta,tcp.len,tcp.ack,tcp.connection.fin,tcp.connection.rst,tcp.connection.sack,tcp.connection.syn,tcp.flags.ack,tcp.flags.fin,tcp.flags.push,tcp.flags.reset,tcp.flags.syn,tcp.flags.urg,tcp.hdr_len,tcp.payload,tcp.pdu.size,tcp.window_size_value,tcp.checksum,mqtt.clientid,mqtt.clientid_len,mqtt.conack.flags,mqtt.conack.val,mqtt.conflag.passwd,mqtt.conflag.qos,mqtt.conflag.reserved,mqtt.conflag.retain,mqtt.conflag.willflag,mqtt.conflags,mqtt.dupflag,mqtt.hdrflags,mqtt.kalive,mqtt.len,mqtt.msg,mqtt.msgtype,mqtt.qos,mqtt.retain,mqtt.topic,mqtt.topic_len,mqtt.ver,mqtt.willmsg_len,ip.proto,ip.ttl
"0.000000000","0.000000000","105","10.5.150.151","10.5.150.109","43295","1883","0x00000018","0.000000000","37","1",,,,,"1","0","1","0","0","0","32","10:23:00:04:4d:51:54:54:04:02:00:3c:00:17:32:65:62:65:61:66:65:32:63:32:65:35:34:62:66:65:62:61:32:34:38:31:63","37","512","0x0000415a","2ebeafe2c2e54bfeba2481c","23",,,"0","0","0","0","0","0x00000002",,"0x00000010","60","35",,"1",,,,,"4",,"6","64"
"0.000203000","0.000203000","72","10.5.150.109","10.5.150.151","1883","43295","0x00000018","0.000203000","4","38",,,,,"1","0","1","0","0","0","32","20:02:00:00","4","512","0x00004139",,,"0x00000000","0",,,,,,,,"0x00000020",,"2",,"2",,,,,,,"6","64"
"0.000077000","0.000280000","105","10.5.150.153","10.5.150.109","40787","1883","0x00000018","0.000000000","37","1",,,,,"1","0","1","0","0","0","32","10:23:00:04:4d:51:54:54:04:02:00:3c:00:17:65:65:36:63:66:32:32:32:64:38:65:33:34:30:66:62:38:61:64:33:35:65:64","37","512","0x0000415c","ee6cf222d8e340fb8ad35ed","23",,,"0","0","0","0","0","0x00000002",,"0x00000010","60","35",,"1",,,,,"4",,"6","64"
"0.000040000","0.000320000","72","10.5.150.109","10.5.150.153","1883","40787","0x00000018","0.000040000","4","38",,,,,"1","0","1","0","0","0","32","20:02:00:00","4","512","0x0000413b",,,"0x00000000","0",,,,,,,,"0x00000020",,"2",,"2",,,,,,,"6","64"
"0.000033000","0.000353000","105","10.5.150.155","10.5.150.109","37547","1883","0x00000018","0.000000000","37","1",,,,,"1","0","1","0","0","0","32","10:23:00:04:4d:51:54:54:04:02:00:3c:00:17:33:63:63:35:34:65:61:36:31:39:31:37:34:63:61:30:39:65:34:38:35:35:38","37","512","0x0000415e","3cc54ea619174ca09e48558","23",,,"0","0","0","0","0","0x00000002",,"0x00000010","60","35",,"1",,,,,"4",,"6","64"
"0.000032000","0.000385000","72","10.5.150.109","10.5.150.155","1883","37547","0x00000018","0.000032000","4","38",,,,,"1","0","1","0","0","0","32","20:02:00:00","4","512","0x0000413d",,,"0x00000000","0",,,,,,,,"0x00000020",,"2",,"2",,,,,,,"6","64"
"0.000028000","0.000413000","105","10.5.150.157","10.5.150.109","44853","1883","0x00000018","0.000000000","37","1",,,,,"1","0","1","0","0","0","32","10:23:00:04:4d:51:54:54:04:02:00:3c:00:17:31:37:35:65:34:64:61:36:62:65:66:33:34:35:33:37:61:38:33:36:38:39:32","37","512","0x00004160","175e4da6bef34537a836892","23",,,"0","0","0","0","0","0x00000002",,"0x00000010","60","35",,"1",,,,,"4",,"6","64"
"0.000028000","0.000441000","72","10.5.150.109","10.5.150.157","1883","44853","0x00000018","0.000028000","4","38",,,,,"1","0","1","0","0","0","32","20:02:00:00","4","512","0x0000413f",,,"0x00000000","0",,,,,,,,"0x00000020",,"2",,"2",,,,,,,"6","64"
"0.000027000","0.000468000","105","10.5.150.152","10.5.150.109","35397","1883","0x00000018","0.000000000","37","1",,,,,"1","0","1","0","0","0","32","10:23:00:04:4d:51:54:54:04:02:00:3c:00:17:36:34:65:38:63:33:66:35:30:64:30:62:34:66:38:31:38:61:64:32:33:61:61","37","512","0x0000415b","64e8c3f50d0b4f818ad23aa","23",,,"0","0","0","0","0","0x00000002",,"0x00000010","60","35",,"1",,,,,"4",,"6","64"
"0.000028000","0.000496000","72","10.5.150.109","10.5.150.152","1883","35397","0x00000018","0.000028000","4","38",,,,,"1","0","1","0","0","0","32","20:02:00:00","4","512","0x0000413a",,,"0x00000000","0",,,,,,,,"0x00000020",,"2",,"2",,,,,,,"6","64"
