frame.time_delta,frame.time_relative,frame.len,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags,tcp.time_delta,tcp.len,tcp.ack,tcp.connection.fin,tcp.connection.rst,tcp.connection.sack,tcp.connection.syn,tcp.flags.ack,tcp.flags.fin,tcp.flags.push,tcp.flags.reset,tcp.flags.syn,tcp.flags.urg,tcp.hdr_len,tcp.payload,tcp.pdu.size,tcp.window_size_value,tcp.checksum,mqtt.clientid,mqtt.clientid_len,mqtt.conack.flags,mqtt.conack.val,mqtt.conflag.passwd,mqtt.conflag.qos,mqtt.conflag.reserved,mqtt.conflag.retain,mqtt.conflag.willflag,mqtt.conflags,mqtt.dupflag,mqtt.hdrflags,mqtt.kalive,mqtt.len,mqtt.msg,mqtt.msgtype,mqtt.qos,mqtt.retain,mqtt.topic,mqtt.topic_len,mqtt.ver,mqtt.willmsg_len,ip.proto,ip.ttl
"0.000000000","0.000000000","74","10.16.120.44","10.16.120.72","56808","1883","0x00000002","0.000000000","0","0",,,,"1","0","0","0","0","1","0","40",,,"29200","0x00009a5d",,,,,,,,,,,,,,,,,,,,,,,"6","64"
"0.000052000","0.000052000","74","10.16.120.72","10.16.120.44","1883","56808","0x00000012","0.000052000","0","1",,,"1",,"1","0","0","0","1","0","40",,,"28960","0x00009941",,,,,,,,,,,,,,,,,,,,,,,"6","64"
"0.000008000","0.000060000","74","10.16.120.44","10.16.120.72","56810","1883","0x00000002","0.000000000","0","0",,,,"1","0","0","0","0","1","0","40",,,"29200","0x0000bb2e",,,,,,,,,,,,,,,,,,,,,,,"6","64"
"0.000012000","0.000072000","74","10.16.120.72","10.16.120.44","1883","56810","0x00000012","0.000012000","0","1",,,"1",,"1","0","0","0","1","0","40",,,"28960","0x00000e6e",,,,,,,,,,,,,,,,,,,,,,,"6","64"
"0.000003000","0.000075000","74","10.16.120.44","10.16.120.72","56812","1883","0x00000002","0.000000000","0","0",,,,"1","0","0","0","0","1","0","40",,,"29200","0x0000f752",,,,,,,,,,,,,,,,,,,,,,,"6","64"
"0.000010000","0.000085000","74","10.16.120.72","10.16.120.44","1883","56812","0x00000012","0.000010000","0","1",,,"1",,"1","0","0","0","1","0","40",,,"28960","0x0000726b",,,,,,,,,,,,,,,,,,,,,,,"6","64"
"0.000004000","0.000089000","74","10.16.120.44","10.16.120.72","56814","1883","0x00000002","0.000000000","0","0",,,,"1","0","0","0","0","1","0","40",,,"29200","0x00005d1c",,,,,,,,,,,,,,,,,,,,,,,"6","64"
"0.000009000","0.000098000","74","10.16.120.72","10.16.120.44","1883","56814","0x00000012","0.000009000","0","1",,,"1",,"1","0","0","0","1","0","40",,,"28960","0x00006d56",,,,,,,,,,,,,,,,,,,,,,,"6","64"
"0.000192000","0.000290000","74","10.16.120.44","10.16.120.72","56816","1883","0x00000002","0.000000000","0","0",,,,"1","0","0","0","0","1","0","40",,,"29200","0x00009b6f",,,,,,,,,,,,,,,,,,,,,,,"6","64"
"0.000011000","0.000301000","74","10.16.120.72","10.16.120.44","1883","56816","0x00000012","0.000011000","0","1",,,"1",,"1","0","0","0","1","0","40",,,"28960","0x00009b4f",,,,,,,,,,,,,,,,,,,,,,,"6","64"
"0.000004000","0.000305000","74","10.16.120.44","10.16.120.72","56818","1883","0x00000002","0.000000000","0","0",,,,"1","0","0","0","0","1","0","40",,,"29200","0x0000a937",,,,,,,,,,,,,,,,,,,,,,,"6","64"
"0.000010000","0.000315000","74","10.16.120.72","10.16.120.44","1883","56818","0x00000012","0.000010000","0","1",,,"1",,"1","0","0","0","1","0","40",,,"28960","0x0000431e",,,,,,,,,,,,,,,,,,,,,,,"6","64"
"0.000003000","0.000318000","74","10.16.120.44","10.16.120.72","56820","1883","0x00000002","0.000000000","0","0",,,,"1","0","0","0","0","1","0","40",,,"29200","0x0000947a",,,,,,,,,,,,,,,,,,,,,,,"6","64"
"0.000010000","0.000328000","74","10.16.120.72","10.16.120.44","1883","56820","0x00000012","0.000010000","0","1",,,"1",,"1","0","0","0","1","0","40",,,"28960","0x00003e96",,,,,,,,,,,,,,,,,,,,,,,"6","64"
"0.000003000","0.000331000","74","10.16.120.44","10.16.120.72","56822","1883","0x00000002","0.000000000","0","0",,,,"1","0","0","0","0","1","0","40",,,"29200","0x000014b0",,,,,,,,,,,,,,,,,,,,,,,"6","64"
"0.000010000","0.000341000","74","10.16.120.72","10.16.120.44","1883","56822","0x00000012","0.000010000","0","1",,,"1",,"1","0","0","0","1","0","40",,,"28960","0x00007f80",,,,,,,,,,,,,,,,,,,,,,,"6","64"
"0.000154000","0.000495000","74","10.16.120.44","10.16.120.72","56824","1883","0x00000002","0.000000000","0","0",,,,"1","0","0","0","0","1","0","40",,,"29200","0x0000f363",,,,,,,,,,,,,,,,,,,,,,,"6","64"
"0.000011000","0.000506000","74","10.16.120.72","10.16.120.44","1883","56824","0x00000012","0.000011000","0","1",,,"1",,"1","0","0","0","1","0","40",,,"28960","0x0000f6ee",,,,,,,,,,,,,,,,,,,,,,,"6","64"
"0.000194000","0.000700000","66","10.16.120.44","10.16.120.72","56808","1883","0x00000010","0.000648000","0","1",,,,,"1","0","0","0","0","0","32",,,"229","0x00003848",,,,,,,,,,,,,,,,,,,,,,,"6","64"
"0.000037000","0.000737000","66","10.16.120.44","10.16.120.72","56810","1883","0x00000010","0.000665000","0","1",,,,,"1","0","0","0","0","0","32",,,"229","0x0000ad75",,,,,,,,,,,,,,,,,,,,,,,"6","64"
"0.000014000","0.000751000","66","10.16.120.44","10.16.120.72","56812","1883","0x00000010","0.000666000","0","1",,,,,"1","0","0","0","0","0","32",,,"229","0x00001173",,,,,,,,,,,,,,,,,,,,,,,"6","64"
"0.000013000","0.000764000","74","10.16.120.44","10.16.120.72","56826","1883","0x00000002","0.000000000","0","0",,,,"1","0","0","0","0","1","0","40",,,"29200","0x0000dfc2",,,,,,,,,,,,,,,,,,,,,,,"6","64"
"0.000013000","0.000777000","74","10.16.120.72","10.16.120.44","1883","56826","0x00000012","0.000013000","0","1",,,"1",,"1","0","0","0","1","0","40",,,"28960","0x0000f985",,,,,,,,,,,,,,,,,,,,,,,"6","64"
"0.000005000","0.000782000","66","10.16.120.44","10.16.120.72","56814","1883","0x00000010","0.000684000","0","1",,,,,"1","0","0","0","0","0","32",,,"229","0x00000c5e",,,,,,,,,,,,,,,,,,,,,,,"6","64"
"0.000047000","0.000829000","66","10.16.120.44","10.16.120.72","56816","1883","0x00000010","0.000528000","0","1",,,,,"1","0","0","0","0","0","32",,,"229","0x00003a57",,,,,,,,,,,,,,,,,,,,,,,"6","64"
"0.000015000","0.000844000","66","10.16.120.44","10.16.120.72","56818","1883","0x00000010","0.000529000","0","1",,,,,"1","0","0","0","0","0","32",,,"229","0x0000e225",,,,,,,,,,,,,,,,,,,,,,,"6","64"
